Date,Ward,No_confirmed_cases,
08-Apr-20,Aundh-Baner,3,
08-Apr-20,Kothrud-Bavdhan,1,
08-Apr-20,Warje-Karvenagar,1,
08-Apr-20,Sinhagad Road,5,
08-Apr-20,Dhankawadi-Sahakarnagar,13,
08-Apr-20,Kondhwa-Yewalewadi,6,
08-Apr-20,Shivajinagar-Ghole Road,6,
08-Apr-20,Kasba-Vishrambagwada,17,
08-Apr-20,Bhawani Peth,40,
08-Apr-20,Bibwewadi,4,
08-Apr-20,Dhole Patil,16,
08-Apr-20,Wanawadi-Ramtekdi,5,
08-Apr-20,Hadapsar-Mundhawa,12,
08-Apr-20,Yerwada-Kalas-Dhanori,6,
08-Apr-20,Nagar Road-Wadgaonsheri,1,
09-Apr-20,Aundh-Baner,3,
09-Apr-20,Kothrud-Bavdhan,1,
09-Apr-20,Warje-Karvenagar,1,
09-Apr-20,Sinhagad Road,5,
09-Apr-20,Dhankawadi-Sahakarnagar,13,
09-Apr-20,Kondhwa-Yewalewadi,6,
09-Apr-20,Shivajinagar-Ghole Road,6,
09-Apr-20,Kasba-Vishrambagwada,18,
09-Apr-20,Bhawani Peth,40,
09-Apr-20,Bibwewadi,4,
09-Apr-20,Dhole Patil,16,
09-Apr-20,Wanawadi-Ramtekdi,5,
09-Apr-20,Hadapsar-Mundhawa,13,
09-Apr-20,Yerwada-Kalas-Dhanori,6,
09-Apr-20,Nagar Road-Wadgaonsheri,1,
10-Apr-20,Aundh-Baner,3,
10-Apr-20,Kothrud-Bavdhan,1,
10-Apr-20,Warje-Karvenagar,1,
10-Apr-20,Sinhagad Road,5,
10-Apr-20,Dhankawadi-Sahakarnagar,13,
10-Apr-20,Kondhwa-Yewalewadi,6,
10-Apr-20,Shivajinagar-Ghole Road,6,
10-Apr-20,Kasba-Vishrambagwada,23,
10-Apr-20,Bhawani Peth,42,
10-Apr-20,Bibwewadi,4,
10-Apr-20,Dhole Patil,25,
10-Apr-20,Wanawadi-Ramtekdi,5,
10-Apr-20,Hadapsar-Mundhawa,18,
10-Apr-20,Yerwada-Kalas-Dhanori,6,
10-Apr-20,Nagar Road-Wadgaonsheri,1,
11-Apr-20,Aundh-Baner,3,
11-Apr-20,Kothrud-Bavdhan,1,
11-Apr-20,Warje-Karvenagar,1,
11-Apr-20,Sinhagad Road,5,
11-Apr-20,Dhankawadi-Sahakarnagar,14,
11-Apr-20,Kondhwa-Yewalewadi,8,
11-Apr-20,Shivajinagar-Ghole Road,7,
11-Apr-20,Kasba-Vishrambagwada,29,
11-Apr-20,Bhawani Peth,56,
11-Apr-20,Bibwewadi,8,
11-Apr-20,Dhole Patil,28,
11-Apr-20,Wanawadi-Ramtekdi,8,
11-Apr-20,Hadapsar-Mundhawa,21,
11-Apr-20,Yerwada-Kalas-Dhanori,9,
11-Apr-20,Nagar Road-Wadgaonsheri,3,
