Age_group,Date,Perc_cases,Perc_deaths,CFR,Number_of_cases
Age 0-10,2020-04-24,5%,0%,0%,42
Age 0-10,2020-05-06,5%,0%,0%,126
Age 0-10,2020-05-26,5%,0%,0%,306
Age 0-10,2020-06-12,5%,0%,0%,485
Age 0-10,2020-07-02,5%,0%,0%,984
Age 0-10,2020-07-09,5%,0%,0%,1256
Age 10-20,2020-04-24,10%,0%,0%,88
Age 10-20,2020-05-06,10%,0%,0%,216
Age 10-20,2020-05-26,10%,0%,0%,558
Age 10-20,2020-06-12,10%,0%,0%,927
Age 10-20,2020-07-02,10%,0%,0%,1903
Age 10-20,2020-07-09,10%,0%,0%,2348
Age 20-30,2020-04-24,18%,4%,1%,169
Age 20-30,2020-05-06,18%,6%,2%,428
Age 20-30,2020-05-26,19%,1%,0%,1106
Age 20-30,2020-06-12,19%,1%,0%,1763
Age 20-30,2020-07-02,19%,1%,0%,3528
Age 20-30,2020-07-09,19%,1%,0%,4561
Age 30-40,2020-04-24,19%,4%,1%,178
Age 30-40,2020-05-06,19%,6%,2%,429
Age 30-40,2020-05-26,19%,4%,1%,1095
Age 30-40,2020-06-12,20%,5%,1%,1826
Age 30-40,2020-07-02,20%,4%,1%,3821
Age 30-40,2020-07-09,21%,4%,1%,5115
Age 40-50,2020-04-24,17%,13%,4%,160
Age 40-50,2020-05-06,17%,16%,5%,379
Age 40-50,2020-05-26,16%,14%,4%,938
Age 40-50,2020-06-12,16%,13%,3%,1492
Age 40-50,2020-07-02,16%,11%,2%,3078
Age 40-50,2020-07-09,16%,10%,2%,3954
Age 50-60,2020-04-24,14%,35%,13%,134
Age 50-60,2020-05-06,14%,27%,11%,311
Age 50-60,2020-05-26,14%,22%,8%,769
Age 50-60,2020-06-12,13%,19%,7%,1184
Age 50-60,2020-07-02,13%,22%,6%,2511
Age 50-60,2020-07-09,13%,22%,5%,3217
Age 60-70,2020-04-24,11%,35%,18%,100
Age 60-70,2020-05-06,11%,30%,16%,238
Age 60-70,2020-05-26,10%,30%,14%,562
Age 60-70,2020-06-12,10%,32%,15%,916
Age 60-70,2020-07-02,10%,29%,11%,1805
Age 60-70,2020-07-09,9%,30%,10%,2290
Age 70-80,2020-04-24,5%,10%,11%,45
Age 70-80,2020-05-06,5%,14%,15%,111
Age 70-80,2020-05-26,5%,21%,21%,277
Age 70-80,2020-06-12,5%,23%,22%,439
Age 70-80,2020-07-02,5%,23%,17%,912
Age 70-80,2020-07-09,5%,24%,16%,1158
Age 80-90,2020-04-24,1%,0%,0%,9
Age 80-90,2020-05-06,1%,2%,13%,16
Age 80-90,2020-05-26,1%,6%,21%,73
Age 80-90,2020-06-12,1%,6%,18%,132
Age 80-90,2020-07-02,1%,8%,21%,256
Age 80-90,2020-07-09,1%,8%,19%,341
Age 90-100,2020-04-24,0%,0%,0%,1
Age 90-100,2020-05-06,0%,0%,0%,3
Age 90-100,2020-05-26,0%,1%,20%,10
Age 90-100,2020-06-12,0%,1%,17%,24
Age 90-100,2020-07-02,0%,1%,12%,43
Age 90-100,2020-07-09,0%,1%,10%,48
